subject_id,trial_index,casino,visit_in_casino,chosen_machine_label,reward,prob_of_no_loss,prompt_used,llm_history_context_turns
36,1,1,1,H,-1,0.25,"Casino 1, visit 1: Choose Z or H.",1
36,2,4,1,F,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 4, visit 1: Choose G or F.",2
36,3,4,2,F,-1,0.75,"Machine F in Casino 4 delivered 0 points.

Casino 4, visit 2: Choose G or F.",3
36,4,2,1,T,0,0.75,"Machine F in Casino 4 delivered -1 points.

Casino 2, visit 1: Choose M or T.",4
36,5,3,1,C,-1,0.25,"Machine T in Casino 2 delivered 0 points.

Casino 3, visit 1: Choose Q or C.",5
36,6,4,3,G,-1,0.75,"Machine C in Casino 3 delivered -1 points.

Casino 4, visit 3: Choose G or F.",6
36,7,4,4,F,-1,0.75,"Machine G in Casino 4 delivered -1 points.

Casino 4, visit 4: Choose G or F.",7
36,8,2,2,T,0,0.75,"Machine F in Casino 4 delivered -1 points.

Casino 2, visit 2: Choose M or T.",8
36,9,1,2,Z,-1,0.25,"Machine T in Casino 2 delivered 0 points.

Casino 1, visit 2: Choose Z or H.",9
36,10,4,5,F,0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 4, visit 5: Choose G or F.",10
36,11,1,3,H,-1,0.25,"Machine F in Casino 4 delivered 0 points.

Casino 1, visit 3: Choose Z or H.",11
36,12,1,4,Z,-1,0.25,"Machine H in Casino 1 delivered -1 points.

Casino 1, visit 4: Choose Z or H.",12
36,13,2,3,T,-1,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 2, visit 3: Choose M or T.",13
36,14,3,2,Q,0,0.75,"Machine T in Casino 2 delivered -1 points.

Casino 3, visit 2: Choose Q or C.",14
36,15,3,3,Q,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 3, visit 3: Choose Q or C.",15
36,16,1,5,H,-1,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 1, visit 5: Choose Z or H.",16
36,17,3,4,Q,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 3, visit 4: Choose Q or C.",17
36,18,2,4,T,-1,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 2, visit 4: Choose M or T.",18
36,19,1,6,Z,-1,0.25,"Machine T in Casino 2 delivered -1 points.

Casino 1, visit 6: Choose Z or H.",19
36,20,4,6,F,0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 4, visit 6: Choose G or F.",20
36,21,3,5,Q,0,0.75,"Machine F in Casino 4 delivered 0 points.

Casino 3, visit 5: Choose Q or C.",21
36,22,3,6,Q,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 3, visit 6: Choose Q or C.",22
36,23,1,7,Z,-1,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 1, visit 7: Choose Z or H.",23
36,24,3,7,Q,-1,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 3, visit 7: Choose Q or C.",24
36,25,3,8,Q,0,0.75,"Machine Q in Casino 3 delivered -1 points.

Casino 3, visit 8: Choose Q or C.",25
36,26,3,9,Q,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 3, visit 9: Choose Q or C.",26
36,27,4,7,F,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 4, visit 7: Choose G or F.",27
36,28,4,8,F,0,0.75,"Machine F in Casino 4 delivered 0 points.

Casino 4, visit 8: Choose G or F.",28
36,29,2,5,M,-1,0.25,"Machine F in Casino 4 delivered 0 points.

Casino 2, visit 5: Choose M or T.",29
36,30,4,9,F,0,0.75,"Machine M in Casino 2 delivered -1 points.

Casino 4, visit 9: Choose G or F.",30
36,31,2,6,T,0,0.75,"Machine F in Casino 4 delivered 0 points.

Casino 2, visit 6: Choose M or T.",31
36,32,1,8,H,-1,0.25,"Machine T in Casino 2 delivered 0 points.

Casino 1, visit 8: Choose Z or H.",32
36,33,2,7,T,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 2, visit 7: Choose M or T.",33
36,34,4,10,F,0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 4, visit 10: Choose G or F.",34
36,35,1,9,Z,-1,0.25,"Machine F in Casino 4 delivered 0 points.

Casino 1, visit 9: Choose Z or H.",35
36,36,4,11,F,0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 4, visit 11: Choose G or F.",36
36,37,2,8,T,0,0.75,"Machine F in Casino 4 delivered 0 points.

Casino 2, visit 8: Choose M or T.",37
36,38,2,9,T,-1,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 2, visit 9: Choose M or T.",38
36,39,3,10,Q,0,0.75,"Machine T in Casino 2 delivered -1 points.

Casino 3, visit 10: Choose Q or C.",39
36,40,1,10,H,-1,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 1, visit 10: Choose Z or H.",40
36,41,3,11,Q,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 3, visit 11: Choose Q or C.",41
36,42,4,12,F,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 4, visit 12: Choose G or F.",42
36,43,1,11,Z,-1,0.25,"Machine F in Casino 4 delivered 0 points.

Casino 1, visit 11: Choose Z or H.",43
36,44,4,13,F,-1,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 4, visit 13: Choose G or F.",44
36,45,3,12,Q,0,0.75,"Machine F in Casino 4 delivered -1 points.

Casino 3, visit 12: Choose Q or C.",45
36,46,2,10,T,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 2, visit 10: Choose M or T.",46
36,47,4,14,F,0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 4, visit 14: Choose G or F.",47
36,48,4,15,F,0,0.75,"Machine F in Casino 4 delivered 0 points.

Casino 4, visit 15: Choose G or F.",48
36,49,1,12,H,-1,0.25,"Machine F in Casino 4 delivered 0 points.

Casino 1, visit 12: Choose Z or H.",49
36,50,3,13,Q,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 3, visit 13: Choose Q or C.",50
36,51,1,13,Z,-1,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 1, visit 13: Choose Z or H.",51
36,52,4,16,F,0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 4, visit 16: Choose G or F.",52
36,53,2,11,T,0,0.75,"Machine F in Casino 4 delivered 0 points.

Casino 2, visit 11: Choose M or T.",53
36,54,3,14,Q,0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 3, visit 14: Choose Q or C.",54
36,55,1,14,H,-1,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 1, visit 14: Choose Z or H.",55
36,56,2,12,T,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 2, visit 12: Choose M or T.",56
36,57,2,13,T,0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 2, visit 13: Choose M or T.",57
36,58,1,15,Z,-1,0.25,"Machine T in Casino 2 delivered 0 points.

Casino 1, visit 15: Choose Z or H.",58
36,59,1,16,H,-1,0.25,"Machine Z in Casino 1 delivered -1 points.

Casino 1, visit 16: Choose Z or H.",59
36,60,1,17,Z,-1,0.25,"Machine H in Casino 1 delivered -1 points.

Casino 1, visit 17: Choose Z or H.",60
36,61,2,14,T,0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 2, visit 14: Choose M or T.",61
36,62,2,15,T,0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 2, visit 15: Choose M or T.",62
36,63,3,15,Q,0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 3, visit 15: Choose Q or C.",63
36,64,1,18,H,0,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 1, visit 18: Choose Z or H.",64
36,65,3,16,Q,0,0.75,"Machine H in Casino 1 delivered 0 points.

Casino 3, visit 16: Choose Q or C.",65
