subject_id,trial_index,casino,visit_in_casino,chosen_machine_label,reward,prob_of_no_loss,prompt_used,llm_history_context_turns
2,1,1,1,Z,-1,0.25,"Casino 1, visit 1: Choose Z or H.",1
2,2,4,1,F,0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 4, visit 1: Choose G or F.",2
2,3,4,2,F,-1,0.75,"Machine F in Casino 4 delivered 0 points.

Casino 4, visit 2: Choose G or F.",3
2,4,2,1,M,-1,0.25,"Machine F in Casino 4 delivered -1 points.

Casino 2, visit 1: Choose M or T.",4
2,5,3,1,C,-1,0.25,"Machine M in Casino 2 delivered -1 points.

Casino 3, visit 1: Choose Q or C.",5
2,6,4,3,G,0,0.75,"Machine C in Casino 3 delivered -1 points.

Casino 4, visit 3: Choose G or F.",6
2,7,4,4,G,0,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 4, visit 4: Choose G or F.",7
2,8,2,2,T,-1,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 2, visit 2: Choose M or T.",8
2,9,1,2,H,-1,0.25,"Machine T in Casino 2 delivered -1 points.

Casino 1, visit 2: Choose Z or H.",9
2,10,4,5,G,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 4, visit 5: Choose G or F.",10
2,11,1,3,Z,-1,0.25,"Machine G in Casino 4 delivered 0 points.

Casino 1, visit 3: Choose Z or H.",11
2,12,1,4,H,-1,0.25,"Machine Z in Casino 1 delivered -1 points.

Casino 1, visit 4: Choose Z or H.",12
2,13,2,3,M,-1,0.25,"Machine H in Casino 1 delivered -1 points.

Casino 2, visit 3: Choose M or T.",13
2,14,3,2,Q,0,0.75,"Machine M in Casino 2 delivered -1 points.

Casino 3, visit 2: Choose Q or C.",14
2,15,3,3,Q,-1,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 3, visit 3: Choose Q or C.",15
2,16,1,5,Z,-1,0.25,"Machine Q in Casino 3 delivered -1 points.

Casino 1, visit 5: Choose Z or H.",16
2,17,3,4,Q,0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 3, visit 4: Choose Q or C.",17
2,18,2,4,M,-1,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 2, visit 4: Choose M or T.",18
2,19,1,6,Z,-1,0.25,"Machine M in Casino 2 delivered -1 points.

Casino 1, visit 6: Choose Z or H.",19
2,20,4,6,G,0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 4, visit 6: Choose G or F.",20
2,21,3,5,Q,-1,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 3, visit 5: Choose Q or C.",21
2,22,3,6,C,-1,0.25,"Machine Q in Casino 3 delivered -1 points.

Casino 3, visit 6: Choose Q or C.",22
2,23,1,7,H,-1,0.25,"Machine C in Casino 3 delivered -1 points.

Casino 1, visit 7: Choose Z or H.",23
2,24,3,7,Q,-1,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 3, visit 7: Choose Q or C.",24
2,25,3,8,Q,0,0.75,"Machine Q in Casino 3 delivered -1 points.

Casino 3, visit 8: Choose Q or C.",25
2,26,3,9,Q,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 3, visit 9: Choose Q or C.",26
2,27,4,7,G,-1,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 4, visit 7: Choose G or F.",27
2,28,4,8,G,0,0.75,"Machine G in Casino 4 delivered -1 points.

Casino 4, visit 8: Choose G or F.",28
2,29,2,5,M,-1,0.25,"Machine G in Casino 4 delivered 0 points.

Casino 2, visit 5: Choose M or T.",29
2,30,4,9,G,0,0.75,"Machine M in Casino 2 delivered -1 points.

Casino 4, visit 9: Choose G or F.",30
2,31,2,6,T,0,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 2, visit 6: Choose M or T.",31
2,32,1,8,H,-1,0.25,"Machine T in Casino 2 delivered 0 points.

Casino 1, visit 8: Choose Z or H.",32
2,33,2,7,T,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 2, visit 7: Choose M or T.",33
2,34,4,10,G,0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 4, visit 10: Choose G or F.",34
2,35,1,9,Z,-1,0.25,"Machine G in Casino 4 delivered 0 points.

Casino 1, visit 9: Choose Z or H.",35
2,36,4,11,G,-1,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 4, visit 11: Choose G or F.",36
2,37,2,8,T,-1,0.75,"Machine G in Casino 4 delivered -1 points.

Casino 2, visit 8: Choose M or T.",37
2,38,2,9,T,0,0.75,"Machine T in Casino 2 delivered -1 points.

Casino 2, visit 9: Choose M or T.",38
2,39,3,10,Q,0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 3, visit 10: Choose Q or C.",39
2,40,1,10,Z,-1,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 1, visit 10: Choose Z or H.",40
2,41,3,11,Q,0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 3, visit 11: Choose Q or C.",41
2,42,4,12,G,-1,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 4, visit 12: Choose G or F.",42
2,43,1,11,Z,0,0.25,"Machine G in Casino 4 delivered -1 points.

Casino 1, visit 11: Choose Z or H.",43
2,44,4,13,G,-1,0.75,"Machine Z in Casino 1 delivered 0 points.

Casino 4, visit 13: Choose G or F.",44
2,45,3,12,Q,0,0.75,"Machine G in Casino 4 delivered -1 points.

Casino 3, visit 12: Choose Q or C.",45
2,46,2,10,T,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 2, visit 10: Choose M or T.",46
2,47,4,14,G,0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 4, visit 14: Choose G or F.",47
2,48,4,15,G,0,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 4, visit 15: Choose G or F.",48
2,49,1,12,Z,-1,0.25,"Machine G in Casino 4 delivered 0 points.

Casino 1, visit 12: Choose Z or H.",49
2,50,3,13,Q,0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 3, visit 13: Choose Q or C.",50
2,51,1,13,H,0,0.25,"Machine Q in Casino 3 delivered 0 points.

Casino 1, visit 13: Choose Z or H.",51
2,52,4,16,G,0,0.75,"Machine H in Casino 1 delivered 0 points.

Casino 4, visit 16: Choose G or F.",52
2,53,2,11,T,0,0.75,"Machine G in Casino 4 delivered 0 points.

Casino 2, visit 11: Choose M or T.",53
2,54,3,14,Q,-1,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 3, visit 14: Choose Q or C.",54
2,55,1,14,H,-1,0.25,"Machine Q in Casino 3 delivered -1 points.

Casino 1, visit 14: Choose Z or H.",55
2,56,2,12,T,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 2, visit 12: Choose M or T.",56
2,57,2,13,T,-1,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 2, visit 13: Choose M or T.",57
2,58,1,15,H,-1,0.25,"Machine T in Casino 2 delivered -1 points.

Casino 1, visit 15: Choose Z or H.",58
2,59,1,16,Z,-1,0.25,"Machine H in Casino 1 delivered -1 points.

Casino 1, visit 16: Choose Z or H.",59
2,60,1,17,H,-1,0.25,"Machine Z in Casino 1 delivered -1 points.

Casino 1, visit 17: Choose Z or H.",60
2,61,2,14,T,0,0.75,"Machine H in Casino 1 delivered -1 points.

Casino 2, visit 14: Choose M or T.",61
2,62,2,15,T,0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 2, visit 15: Choose M or T.",62
2,63,3,15,Q,-1,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 3, visit 15: Choose Q or C.",63
2,64,1,18,Z,-1,0.25,"Machine Q in Casino 3 delivered -1 points.

Casino 1, visit 18: Choose Z or H.",64
2,65,3,16,Q,0,0.75,"Machine Z in Casino 1 delivered -1 points.

Casino 3, visit 16: Choose Q or C.",65
2,66,2,16,T,0,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 2, visit 16: Choose M or T.",66
2,67,3,17,Q,0,0.75,"Machine T in Casino 2 delivered 0 points.

Casino 3, visit 17: Choose Q or C.",67
2,68,3,18,Q,-1,0.75,"Machine Q in Casino 3 delivered 0 points.

Casino 3, visit 18: Choose Q or C.",68
2,69,4,17,G,-1,0.75,"Machine Q in Casino 3 delivered -1 points.

Casino 4, visit 17: Choose G or F.",69
